,index,food_start,food_end,food_text,chemical_start,chemical_end,chemical_text,chemical_id,sentence,supported_by,contains_relation,name,ncbi_taxonomy_id,itis_id,wikipedia_id,food_group,food_subgroup,foodb_public_id
52,7052,45,51,fruits,0,7,Fisetin,,"Fisetin, a flavone that can be isolated from fruits and vegetables, has anti-tumor and anti-oxidative properties and ameliorates airway hyperresponsiveness in asthmatic mice.",butter|foodb_non_scientific,1,fruits,,,Fruits,Fruits,Fruits,FOOD00871
53,173,83,89,fruits,0,13,Ascorbic acid,CIDs11020241;CIDs09888239,Ascorbic acid is a sugar acid and an essential vital food nutrient found mainly in fruits and vegetables.,butter|foodb_non_scientific,1,fruits,,,Fruits,Fruits,Fruits,FOOD00871
54,910,89,95,fruits,10,36,dibenzocyclooctane lignans,,"Seven new dibenzocyclooctane lignans, schisanwilsonins A-G (1-7), were isolated from the fruits of Schisandra wilsoniana, together with five known lignans (8-12).",butter|foodb_non_scientific,1,fruits,,,Fruits,Fruits,Fruits,FOOD00871
55,66,89,95,fruits,8,32,"furo-1,2-naphthoquinones",,"Two new furo-1,2-naphthoquinones, crataequinones A (1) and B (2), were isolated from the fruits of Crataegus pinnatifida.",butter|foodb_non_scientific,1,fruits,,,Fruits,Fruits,Fruits,FOOD00871
56,1112,1236,1243,spinach,1162,1169,nitrate,CIDs00000943,The average nitrate concentration was maximum in beetroot (1349.38 mg/kg) followed by spinach (1288.75 mg/kg) and amaranthus (1007.64 mg/kg).,butter|foodb_non_scientific,1,spinach,3562.0,20709.0,Spinach,Vegetables,Leaf vegetables,FOOD00178
57,961,0,7,spinach,50,59,vitamin C,,"Spinach is rich in bioactive constituents such as vitamin C, flavonoids and phenolic acids.",butter|foodb_non_scientific,1,spinach,3562.0,20709.0,Spinach,Vegetables,Leaf vegetables,FOOD00178
58,5761,363,370,spinach,318,321,Ecd,,The molting hormone 20-beta-hydroxyecdysone (Ecd) is produced by several plants including spinach and has no estrogenic or androgenic properties but enhances GABAergic effects in neurons.,butter|foodb_non_scientific,0,spinach,3562.0,20709.0,Spinach,Vegetables,Leaf vegetables,FOOD00178
59,5834,657,664,spinach,775,782,oxalate,,"Only eight foods--spinach, rhubarb, beets, nuts, chocolate, tea, wheat bran, and strawberries--caused a significant increase in urinary oxalate excretion.",butter|foodb_non_scientific,0,spinach,3562.0,20709.0,Spinach,Vegetables,Leaf vegetables,FOOD00178
60,348,104,111,spinach,188,195,oxalate,CIDs00000971,"Spinach, acclaimed for its many health benefits, is among the vegetables richest in oxalate.",butter|foodb_non_scientific,1,spinach,3562.0,20709.0,Spinach,Vegetables,Leaf vegetables,FOOD00178
61,1162,191,195,corn,117,119,Ca,,"Recent studies have shown fluctuations in cow milk Ca content during the year in France, with high values in winter and with corn silage diets, and a decrease during May and June and with grass diets.",butter|foodb_non_scientific,0,corn,4577.0,42269.0,Corn,Cereals and cereal products,Cereals,FOOD00205
62,3726,735,739,corn,791,800,Iprodione,,"Corn and faba beans showed the highest concentration of Iprodione with an average of 6.7 and 5.4 mg/Kg, respectively.",butter|foodb_non_scientific,1,corn,4577.0,42269.0,Corn,Cereals and cereal products,Cereals,FOOD00205
63,4081,680,684,corn,772,784,carbohydrate,,"Although corn grain responds vigorously and nonlinearly, corn residue shows only modest increases in carbohydrate yields in response to high levels of fertilization (25% increase with 202 kg N ha(-1)).",butter|foodb_non_scientific,0,corn,4577.0,42269.0,Corn,Cereals and cereal products,Cereals,FOOD00205
64,4365,388,392,corn,352,354,Cu,,"The 4 diets contained approximately 20 mg of Cu/kg of dry matter (DM), and had a corn silage-to-grass silage ratio of 0.75:0.25",butter|foodb_non_scientific,0,corn,4577.0,42269.0,Corn,Cereals and cereal products,Cereals,FOOD00205
65,7043,164,168,corn,109,119,Fumonisins,,Fumonisins (FBs) are mycotoxins which are prevalent in corn (Zea mays L.) and its based foods.,butter|foodb_non_scientific,1,corn,4577.0,42269.0,Corn,Cereals and cereal products,Cereals,FOOD00205
66,7116,37,41,corn,10,19,aflatoxin,,Increased aflatoxin contamination in corn by the fungus Aspergillus flavus is associated with frequent periods of drought and heat stress during the reproductive stages of the plants.,butter|foodb_non_scientific,0,corn,4577.0,42269.0,Corn,Cereals and cereal products,Cereals,FOOD00205
67,811,527,531,corn,604,611,glucose,CIDs53782692;CIDs10954115;CIDs00005793,"The basal diet contained corn, soybean meal, and isolated soy protein in Experiments 1 to 3, and also glucose in Experiment 4.",butter|foodb_non_scientific,0,corn,4577.0,42269.0,Corn,Cereals and cereal products,Cereals,FOOD00205
68,1169,119,126,gelatin,0,7,Glucose,CIDs53782692;CIDs10954115;CIDs00005793,"Glucose oxidase (GOD) was immobilized by using glutaraldehyde crosslinking and various stabilizing agents such as BSA, gelatin, lysozyme, and polyethylenimine (PEI).",butter|foodb_non_scientific,0,gelatin,,,Gelatin,Baking goods,Baking goods,FOOD00663
69,7843,541,548,gelatin,641,650,glutamine,,"Except for gelatin and feather meal, animal and plant ingredients contained high percentages of glutamate plus glutamine, branched-chain AA, and aspartate plus asparagine, which were 10-32, 15-25, and 8-14% of total protein, respectively.",butter|foodb_non_scientific,1,gelatin,,,Gelatin,Baking goods,Baking goods,FOOD00663
70,1191,1181,1188,chicken,1076,1093,7-ketocholesterol,CIDs00091474,The values of the 7-ketocholesterol/cholesterol percent ratio in fish-based products were close to the values computed for chicken or turkey-based products.,butter|foodb_non_scientific,0,chicken,9031.0,176086.0,Chicken,Animal foods,Poultry,FOOD00329
71,3377,495,502,chicken,432,438,dioxin,,"Dioxin compounds were determined using isotope dilution method which is slightly modified from US-EPA method 1613B. The dioxin concentration was the highest in fish followed by eggs, chicken, meat (pork and beef), and vegetables.",butter|foodb_non_scientific,1,chicken,9031.0,176086.0,Chicken,Animal foods,Poultry,FOOD00329
72,1222,0,3,tea,44,55,polyphenols,,"Tea is rich in healthy components including polyphenols, caffeine, gallic acids, and others.",butter|foodb_non_scientific,1,tea,4442.0,506801.0,Tea,Teas,Teas,FOOD00038
73,1222,224,227,tea,102,113,Gallic acid,,"Gallic acid, and its catechin derivatives are also present as one of the main phenolic components of both black and green tea.",butter|foodb_non_scientific,1,tea,4442.0,506801.0,Tea,Teas,Teas,FOOD00038
74,1258,73,76,tea,0,9,Catechins,,"Catechins, amino acids, and alkaloids are primary chemical components of tea and play a crucial role in determining tea quality.",butter|foodb_non_scientific,1,tea,4442.0,506801.0,Tea,Teas,Teas,FOOD00038
75,3346,39,42,tea,43,53,flavonoids,,Several studies have demonstrated that tea flavonoids protect cells and tissues against free radicals which have been implicated in the etiology of oxidative stress-related disease disorders.,butter|foodb_non_scientific,1,tea,4442.0,506801.0,Tea,Teas,Teas,FOOD00038
76,3482,824,827,tea,839,851,polyphenolic compounds,,"It is well-known that tea is rich in polyphenolic compounds and that it has potential health benefits, including the prevention of diabetes.",butter|foodb_non_scientific,1,tea,4442.0,506801.0,Tea,Teas,Teas,FOOD00038
77,4456,0,3,tea,4,15,polyphenols,,Tea polyphenols have strong antioxidant and antitumor activities.,butter|foodb_non_scientific,1,tea,4442.0,506801.0,Tea,Teas,Teas,FOOD00038
78,5870,675,678,tea,703,709,sterol,,"Sunflower and tea-seed oil showed similar sterol compositions, while the tea-seed oil tocopherol was very similar to palm oil.",butter|foodb_non_scientific,0,tea,4442.0,506801.0,Tea,Teas,Teas,FOOD00038
79,6013,348,351,tea,281,285,PROP,,This study tested the hypothesis that PROP-sensitive women would be more likely to reject Japanese green tea and selected soy products.,butter|foodb_non_scientific,0,tea,4442.0,506801.0,Tea,Teas,Teas,FOOD00038
80,7197,0,3,tea,56,67,polyphenols,,"Tea contains characteristic volatile organic compounds, polyphenols, caffeine and catechins, and is therefore among the most widely consumed beverages all over the world.",butter|foodb_non_scientific,1,tea,4442.0,506801.0,Tea,Teas,Teas,FOOD00038
81,323,15,18,tea,0,11,Polyphenols,CIDs00065064,Polyphenols in tea are considered beneficial to human health.,butter|foodb_non_scientific,1,tea,4442.0,506801.0,Tea,Teas,Teas,FOOD00038
82,501,0,3,tea,4,14,polyphenol,,Tea polyphenol is rich in green tea with diverse biological activities.,butter|foodb_non_scientific,1,tea,4442.0,506801.0,Tea,Teas,Teas,FOOD00038
83,465,56,59,tea,60,70,flavonoids,,"Epidemiological studies suggest that the consumption of tea flavonoids may be associated with reduced risk of coronary heart disease, stroke and cancer-related deaths.",butter|foodb_non_scientific,1,tea,4442.0,506801.0,Tea,Teas,Teas,FOOD00038
84,55,199,202,tea,135,146,Gallic acid,CIDs00000370,"Gallic acid (GA) is a well-known antioxidant compound, found in tea leaves, various fruits, fruit seeds and in fruit-derived foods and beverages.",butter|foodb_non_scientific,1,tea,4442.0,506801.0,Tea,Teas,Teas,FOOD00038
85,1225,1113,1119,potato,1081,1091,acrylamide,CIDs00006579,Results of this study also revealed the potential industrial application of this enzyme in reducing acrylamide formation during the potato frying process.,butter|foodb_non_scientific,0,potato,4113.0,505272.0,Potato,Vegetables,Tubers,FOOD00175
86,5910,458,464,potato,397,413,saposins A and C,,"Similar to other members of the saposin-like protein family, most notably saposins A and C, the recently resolved crystal structure of potato (Solanum tuberosum) plant-specific insert has been shown to exist in a substrate-bound open conformation in which the plant-specific insert oligomerizes to form homodimers.",butter|foodb_non_scientific,0,potato,4113.0,505272.0,Potato,Vegetables,Tubers,FOOD00175
87,360,0,6,potato,55,60,sugar,,Potato frying quality is a complex trait influenced by sugar content in tubers.,butter|foodb_non_scientific,0,potato,4113.0,505272.0,Potato,Vegetables,Tubers,FOOD00175
88,1247,171,181,vicia faba,317,324,sucrose,CIDs00005988,The deduced protein is designated Vicia faba SBP-like protein (VfSBPL) since it shares 58% homology to a 62 kDa soybean (Glycine max) protein (GmSBP) which has been described as a sucrose-binding and sucrose-transporting protein (SBP).,foodb_scientific,0,vicia faba,3906.0,26339.0,Broad_bean,Pulses,Beans,FOOD00197
89,1274,39,55,lathyrus sativus,160,171,oxalic acid,CIDs00000971,"Lathyrus sativus) seeds are important sources of dietary proteins; however, they also contain antinutritional metabolite oxalic acid (OA).",foodb_scientific,1,lathyrus sativus,3860.0,25877.0,Lathyrus sativus,Pulses,Peas,FOOD00096
90,1289,174,187,vigna radiata,226,238,carbohydrate,,"Mungbean (Vigna radiata [L.] Wilczek), an important source of carbohydrate and protein in Asia, is characterized by nonsynchronous pod maturity; consequently, harvesting is labor intensive.",foodb_scientific,1,vigna radiata,157791.0,506804.0,Mung bean,Pulses,Beans,FOOD00200
91,1295,149,166,triticum aestivum,0,13,Puroindolines,,"Puroindolines (PIN) are low molecular weight, cysteine-rich, endosperm-specific, basic proteins with a unique tryptophan-rich domain found in wheat (Triticum aestivum L.) and barley (Hordeum vulgare L.) as well as other members of Triticaceae.",foodb_scientific,1,triticum aestivum,4565.0,42237.0,Common wheat,Cereals and cereal products,Cereals,FOOD00187
92,10145,283,300,triticum aestivum,333,343,amino acid,,Six distinct serpins have been identified in grains of hexaploid bread wheat (Triticum aestivum L.) by partial purification and amino acid sequencing.,foodb_scientific,0,triticum aestivum,4565.0,42237.0,Common wheat,Cereals and cereal products,Cereals,FOOD00187
93,10748,193,210,triticum aestivum,0,16,Secaloindoline a,,Secaloindoline a (Sina) and secaloindoline b (Sinb) genes of hexaploid triticale (x Triticosecale Wittmack) are orthologs of puroindoline a (Pina) and puroindoline b (Pinb) in hexaploid wheat (Triticum aestivum L.).,foodb_scientific,0,triticum aestivum,4565.0,42237.0,Common wheat,Cereals and cereal products,Cereals,FOOD00187
94,1333,66,79,ginkgo biloba,0,19,Terpene trilactones,,Terpene trilactones (TTLs) are the main bioactive constituents of Ginkgo biloba used for the preparation of drugs for several ailments.,foodb_scientific,1,ginkgo biloba,3311.0,183269.0,Ginkgo biloba,Herbs and Spices,Other seeds,FOOD00367
95,1365,178,191,ginkgo biloba,193,202,vitamin C,CIDs11020241;CIDs23675738;CIDs09888239,"Other antioxidants reported to affect cognitive function include ginkgo biloba, vitamin C, and lipoic acid.",foodb_scientific,0,ginkgo biloba,3311.0,183269.0,Ginkgo biloba,Herbs and Spices,Other seeds,FOOD00367
96,8511,132,145,ginkgo biloba,43,55,Ginkgoside C,,"Two undescribed phenylethanoid glycosides, Ginkgoside C (1) and D (2), together with ten known glycosides (3-12) were isolated from Ginkgo biloba leaves.",foodb_scientific,1,ginkgo biloba,3311.0,183269.0,Ginkgo biloba,Herbs and Spices,Other seeds,FOOD00367
97,9803,90,103,ginkgo biloba,4,14,flavonoids,,The flavonoids and the terpene lactones are regarded as the two main active components of Ginkgo biloba that affect human health.,foodb_scientific,1,ginkgo biloba,3311.0,183269.0,Ginkgo biloba,Herbs and Spices,Other seeds,FOOD00367
98,1338,50,69,garcinia mangostana,0,11,α-Mangostin,,α-Mangostin is the major prenylated xanthone from Garcinia mangostana and it has been used also in recent times as starting material for the semisynthetic preparation of various biologically active derivatives.,foodb_scientific,1,garcinia mangostana,58228.0,21484.0,Purple_mangosteen,Fruits,Tropical fruits,FOOD00406
99,9355,93,112,garcinia mangostana,5,13,xanthone,,Five xanthone derivatives and one flavanol were isolated from the dichloromethane extract of Garcinia mangostana.,foodb_scientific,1,garcinia mangostana,58228.0,21484.0,Purple_mangosteen,Fruits,Tropical fruits,FOOD00406
100,10502,91,110,garcinia mangostana,8,17,xanthones,,"Two new xanthones: mangostanaxanthones I (3) and II (5) were isolated from the pericarp of Garcinia mangostana, along with four known xanthones: 9-hydroxycalabaxanthone (1), parvifolixanthone C (2), α-mangostin (4), and rubraxanthone (6).",foodb_scientific,1,garcinia mangostana,58228.0,21484.0,Purple_mangosteen,Fruits,Tropical fruits,FOOD00406
101,1349,76,95,ilex paraguariensis,133,163,pentacyclic triterpenoid acids,,"Unlike all other caffeinated plants, guayusa (Ilex guayusa Loes.) and maté (Ilex paraguariensis A. St. Hill) contain high amounts of pentacyclic triterpenoid acids and alcohols.",foodb_scientific,1,ilex paraguariensis,,,,Herbs and Spices,Herbs,FOOD00916
