,index,food_start,food_end,food_text,chemical_start,chemical_end,chemical_text,chemical_id,sentence,supported_by,contains_relation,name,ncbi_taxonomy_id,itis_id,wikipedia_id,food_group,food_subgroup,foodb_public_id
18,489,245.0,251.0,fruits,144.0,163.0,ligujaponosides A-B,,"A previously undescribed nor-dammarane, 3β,20,23-trihydroxy-24,25,26,27-tetranordammarane; three previously undescribed secoiridoid glycosides, ligujaponosides A-B, and iso-oleonuzhenide; and twenty three known compounds, were isolated from the fruits of Ligustrum japonicum Thunb.",butter|foodb_non_scientific,1,fruits,,,Fruits,Fruits,Fruits,FOOD00871
19,490,245.0,251.0,fruits,169.0,186.0,iso-oleonuzhenide,,"A previously undescribed nor-dammarane, 3β,20,23-trihydroxy-24,25,26,27-tetranordammarane; three previously undescribed secoiridoid glycosides, ligujaponosides A-B, and iso-oleonuzhenide; and twenty three known compounds, were isolated from the fruits of Ligustrum japonicum Thunb.",butter|foodb_non_scientific,1,fruits,,,Fruits,Fruits,Fruits,FOOD00871
20,700,92.0,98.0,fruits,10.0,30.0,steroidal glycosides,,"Three new steroidal glycosides, named solaviasides A, B, and C, have been isolated from the fruits of Solanum viarum DUNAL (syn.",butter|foodb_non_scientific,1,fruits,,,Fruits,Fruits,Fruits,FOOD00871
21,701,92.0,98.0,fruits,38.0,62.0,"solaviasides A, B, and C",,"Three new steroidal glycosides, named solaviasides A, B, and C, have been isolated from the fruits of Solanum viarum DUNAL (syn.",butter|foodb_non_scientific,1,fruits,,,Fruits,Fruits,Fruits,FOOD00871
22,798,210.0,216.0,fruits,120.0,132.0,Germacrene D,,"Germacrene D, bicyclogermacrene, trans-caryophyllene and δ-elemene are major compounds in fruits.",butter|foodb_non_scientific,1,fruits,,,Fruits,Fruits,Fruits,FOOD00871
23,799,210.0,216.0,fruits,134.0,151.0,bicyclogermacrene,CIDs13894537,"Germacrene D, bicyclogermacrene, trans-caryophyllene and δ-elemene are major compounds in fruits.",butter|foodb_non_scientific,1,fruits,,,Fruits,Fruits,Fruits,FOOD00871
24,800,210.0,216.0,fruits,153.0,172.0,trans-caryophyllene,CIDs05281515,"Germacrene D, bicyclogermacrene, trans-caryophyllene and δ-elemene are major compounds in fruits.",butter|foodb_non_scientific,1,fruits,,,Fruits,Fruits,Fruits,FOOD00871
25,801,210.0,216.0,fruits,177.0,186.0,δ-elemene,,"Germacrene D, bicyclogermacrene, trans-caryophyllene and δ-elemene are major compounds in fruits.",butter|foodb_non_scientific,1,fruits,,,Fruits,Fruits,Fruits,FOOD00871
26,1061,121.0,127.0,fruits,9.0,18.0,terpenoid,,"Volatile terpenoid compounds, potentially derived from carotenoids, are important components of flavor and aroma in many fruits, vegetables and ornamentals.",butter|foodb_non_scientific,1,fruits,,,Fruits,Fruits,Fruits,FOOD00871
27,1107,25.0,31.0,fruits,0.0,12.0,Anthocyanins,CIDs00145857,"Anthocyanins, present in fruits and vegetables as natural colorants, have been well characterized to possess bioactive properties.",butter|foodb_non_scientific,1,fruits,,,Fruits,Fruits,Fruits,FOOD00871
28,1204,26.0,32.0,fruits,67.0,74.0,guaiane,CIDs09548703,"From the essential oil of fruits of Peucedanum tauricum Bieb., two guaiane type sesquiterpene hydrocarbons guaia-1(10),11-diene (1) and guaia-9,11-diene (2) were identified.",butter|foodb_non_scientific,1,fruits,,,Fruits,Fruits,Fruits,FOOD00871
29,1205,26.0,32.0,fruits,80.0,106.0,sesquiterpene hydrocarbons,,"From the essential oil of fruits of Peucedanum tauricum Bieb., two guaiane type sesquiterpene hydrocarbons guaia-1(10),11-diene (1) and guaia-9,11-diene (2) were identified.",butter|foodb_non_scientific,1,fruits,,,Fruits,Fruits,Fruits,FOOD00871
30,1206,26.0,32.0,fruits,107.0,127.0,"guaia-1(10),11-diene",,"From the essential oil of fruits of Peucedanum tauricum Bieb., two guaiane type sesquiterpene hydrocarbons guaia-1(10),11-diene (1) and guaia-9,11-diene (2) were identified.",butter|foodb_non_scientific,1,fruits,,,Fruits,Fruits,Fruits,FOOD00871
31,1207,26.0,32.0,fruits,136.0,152.0,"guaia-9,11-diene",,"From the essential oil of fruits of Peucedanum tauricum Bieb., two guaiane type sesquiterpene hydrocarbons guaia-1(10),11-diene (1) and guaia-9,11-diene (2) were identified.",butter|foodb_non_scientific,1,fruits,,,Fruits,Fruits,Fruits,FOOD00871
32,1448,110.0,116.0,fruits,29.0,39.0,bruceine M,,"A new minor quassinoid named bruceine M (1), together with 12 known quassinoids (2-13), was isolated from the fruits of Brucea javanica (Simaroubaceae).",butter|foodb_non_scientific,1,fruits,,,Fruits,Fruits,Fruits,FOOD00871
33,1449,110.0,116.0,fruits,68.0,79.0,quassinoids,,"A new minor quassinoid named bruceine M (1), together with 12 known quassinoids (2-13), was isolated from the fruits of Brucea javanica (Simaroubaceae).",butter|foodb_non_scientific,1,fruits,,,Fruits,Fruits,Fruits,FOOD00871
34,1729,395.0,401.0,fruits,332.0,340.0,Lycopene,,"Lycopene, as a one of the most potent antioxidant, is found in fruits and vegetables.",butter|foodb_non_scientific,1,fruits,,,Fruits,Fruits,Fruits,FOOD00871
35,1794,99.0,105.0,fruits,8.0,22.0,phenolic acids,,"Two new phenolic acids forsythiayanoside C (1) and forsythiayanoside D (2), were isolated from the fruits of Forsythia suspense (Thunb.)",butter|foodb_non_scientific,1,fruits,,,Fruits,Fruits,Fruits,FOOD00871
36,1795,99.0,105.0,fruits,23.0,42.0,forsythiayanoside C,,"Two new phenolic acids forsythiayanoside C (1) and forsythiayanoside D (2), were isolated from the fruits of Forsythia suspense (Thunb.)",butter|foodb_non_scientific,1,fruits,,,Fruits,Fruits,Fruits,FOOD00871
37,1796,99.0,105.0,fruits,51.0,70.0,forsythiayanoside D,,"Two new phenolic acids forsythiayanoside C (1) and forsythiayanoside D (2), were isolated from the fruits of Forsythia suspense (Thunb.)",butter|foodb_non_scientific,1,fruits,,,Fruits,Fruits,Fruits,FOOD00871
38,2431,4.0,10.0,fruits,68.0,85.0,morinaphthalenone,,"The fruits of Morinda citrifolia, Linn. afforded a new constituent, morinaphthalenone (1), and three known constituents, scopoletin (2), 1, 3-dimethoxy-anthraquinone (3) and 1, 2-dihydroxy-anthraquinone (4).",butter|foodb_non_scientific,1,fruits,,,Fruits,Fruits,Fruits,FOOD00871
39,2432,4.0,10.0,fruits,121.0,131.0,scopoletin,CIDs05280460,"The fruits of Morinda citrifolia, Linn. afforded a new constituent, morinaphthalenone (1), and three known constituents, scopoletin (2), 1, 3-dimethoxy-anthraquinone (3) and 1, 2-dihydroxy-anthraquinone (4).",butter|foodb_non_scientific,1,fruits,,,Fruits,Fruits,Fruits,FOOD00871
40,2433,4.0,10.0,fruits,137.0,165.0,"1, 3-dimethoxy-anthraquinone",,"The fruits of Morinda citrifolia, Linn. afforded a new constituent, morinaphthalenone (1), and three known constituents, scopoletin (2), 1, 3-dimethoxy-anthraquinone (3) and 1, 2-dihydroxy-anthraquinone (4).",butter|foodb_non_scientific,1,fruits,,,Fruits,Fruits,Fruits,FOOD00871
41,2434,4.0,10.0,fruits,174.0,202.0,"1, 2-dihydroxy-anthraquinone",,"The fruits of Morinda citrifolia, Linn. afforded a new constituent, morinaphthalenone (1), and three known constituents, scopoletin (2), 1, 3-dimethoxy-anthraquinone (3) and 1, 2-dihydroxy-anthraquinone (4).",butter|foodb_non_scientific,1,fruits,,,Fruits,Fruits,Fruits,FOOD00871
42,2693,228.0,234.0,fruits,8.0,19.0,cucurbitane,CIDs71306378,"Two new cucurbitane-type triterpenoids, 2beta,3beta,16alpha,20(R),25-pentahydroxy-9-methyl-19-norlanost-5-en-7,22-dione and 2beta,3beta,16alpha,20(R),25-pentahydroxy-9-methyl-19-norlanost-5-en-7,11,22-trione, were isolated from fruits of Cayaponia racemosa.",butter|foodb_non_scientific,1,fruits,,,Fruits,Fruits,Fruits,FOOD00871
43,2694,228.0,234.0,fruits,25.0,38.0,triterpenoids,CIDs71597391,"Two new cucurbitane-type triterpenoids, 2beta,3beta,16alpha,20(R),25-pentahydroxy-9-methyl-19-norlanost-5-en-7,22-dione and 2beta,3beta,16alpha,20(R),25-pentahydroxy-9-methyl-19-norlanost-5-en-7,11,22-trione, were isolated from fruits of Cayaponia racemosa.",butter|foodb_non_scientific,1,fruits,,,Fruits,Fruits,Fruits,FOOD00871
44,2695,228.0,234.0,fruits,40.0,119.0,"2beta,3beta,16alpha,20(R),25-pentahydroxy-9-methyl-19-norlanost-5-en-7,22-dione",,"Two new cucurbitane-type triterpenoids, 2beta,3beta,16alpha,20(R),25-pentahydroxy-9-methyl-19-norlanost-5-en-7,22-dione and 2beta,3beta,16alpha,20(R),25-pentahydroxy-9-methyl-19-norlanost-5-en-7,11,22-trione, were isolated from fruits of Cayaponia racemosa.",butter|foodb_non_scientific,1,fruits,,,Fruits,Fruits,Fruits,FOOD00871
45,2696,228.0,234.0,fruits,124.0,207.0,"2beta,3beta,16alpha,20(R),25-pentahydroxy-9-methyl-19-norlanost-5-en-7,11,22-trione",,"Two new cucurbitane-type triterpenoids, 2beta,3beta,16alpha,20(R),25-pentahydroxy-9-methyl-19-norlanost-5-en-7,22-dione and 2beta,3beta,16alpha,20(R),25-pentahydroxy-9-methyl-19-norlanost-5-en-7,11,22-trione, were isolated from fruits of Cayaponia racemosa.",butter|foodb_non_scientific,1,fruits,,,Fruits,Fruits,Fruits,FOOD00871
46,2983,268.0,274.0,fruits,210.0,221.0,polyphenols,,"Oligonol is a product emanating from the oligomerization of polyphenols, typically proanthocyanidin from a variety of fruits (grapes, apples, persimmons, etc.) and contains catechin-type monomers and proanthocyanidin oligomers.",butter|foodb_non_scientific,1,fruits,,,Fruits,Fruits,Fruits,FOOD00871
47,2984,268.0,274.0,fruits,233.0,249.0,proanthocyanidin,CIDs00108065,"Oligonol is a product emanating from the oligomerization of polyphenols, typically proanthocyanidin from a variety of fruits (grapes, apples, persimmons, etc.) and contains catechin-type monomers and proanthocyanidin oligomers.",butter|foodb_non_scientific,1,fruits,,,Fruits,Fruits,Fruits,FOOD00871
48,2985,268.0,274.0,fruits,323.0,331.0,catechin,CIDs00001203,"Oligonol is a product emanating from the oligomerization of polyphenols, typically proanthocyanidin from a variety of fruits (grapes, apples, persimmons, etc.) and contains catechin-type monomers and proanthocyanidin oligomers.",butter|foodb_non_scientific,1,fruits,,,Fruits,Fruits,Fruits,FOOD00871
49,3084,100.0,106.0,fruits,8.0,22.0,seco-lanostane,,"Two new seco-lanostane-type triterpenes, named mayomlactones A (1) and B (2) were isolated from the fruits of Leplaea mayombensis together with 10 known compounds (3-12).",butter|foodb_non_scientific,1,fruits,,,Fruits,Fruits,Fruits,FOOD00871
50,3085,100.0,106.0,fruits,28.0,39.0,triterpenes,,"Two new seco-lanostane-type triterpenes, named mayomlactones A (1) and B (2) were isolated from the fruits of Leplaea mayombensis together with 10 known compounds (3-12).",butter|foodb_non_scientific,1,fruits,,,Fruits,Fruits,Fruits,FOOD00871
51,3086,100.0,106.0,fruits,47.0,62.0,mayomlactones A,,"Two new seco-lanostane-type triterpenes, named mayomlactones A (1) and B (2) were isolated from the fruits of Leplaea mayombensis together with 10 known compounds (3-12).",butter|foodb_non_scientific,1,fruits,,,Fruits,Fruits,Fruits,FOOD00871
52,3434,271.0,277.0,fruits,173.0,183.0,flavonoids,,"Among them, flavonoids, including anthocyanins and pro-anthocyanidins (PAs), are abundant in leaves, flowers, fruits, and seed coats in plants.",butter|foodb_non_scientific,1,fruits,,,Fruits,Fruits,Fruits,FOOD00871
53,3435,271.0,277.0,fruits,195.0,207.0,anthocyanins,,"Among them, flavonoids, including anthocyanins and pro-anthocyanidins (PAs), are abundant in leaves, flowers, fruits, and seed coats in plants.",butter|foodb_non_scientific,1,fruits,,,Fruits,Fruits,Fruits,FOOD00871
54,3436,271.0,277.0,fruits,212.0,230.0,pro-anthocyanidins,CIDs00108065,"Among them, flavonoids, including anthocyanins and pro-anthocyanidins (PAs), are abundant in leaves, flowers, fruits, and seed coats in plants.",butter|foodb_non_scientific,1,fruits,,,Fruits,Fruits,Fruits,FOOD00871
55,3437,271.0,277.0,fruits,232.0,235.0,PAs,,"Among them, flavonoids, including anthocyanins and pro-anthocyanidins (PAs), are abundant in leaves, flowers, fruits, and seed coats in plants.",butter|foodb_non_scientific,1,fruits,,,Fruits,Fruits,Fruits,FOOD00871
56,3454,587.0,593.0,fruits,528.0,539.0,Polyphenols,CIDs00065064,"Polyphenols (PP) are the natural antioxidants prevalent in fruits, vegetables, beverages (tea, wine, juices), plants, seaweeds, and some herbs and show antioxidative and antimicrobial activities in different fish and fish products.",butter|foodb_non_scientific,1,fruits,,,Fruits,Fruits,Fruits,FOOD00871
57,3727,116.0,122.0,fruits,28.0,47.0,quinolone alkaloids,,"Four alkaloids (1-4), three quinolone alkaloids (5-7), and three flavanoid glucosides (8-10) were isolated from the fruits of Evodia officinalis Dode, and their structures were determined from chemical and spectral data.",butter|foodb_non_scientific,1,fruits,,,Fruits,Fruits,Fruits,FOOD00871
58,3728,116.0,122.0,fruits,65.0,85.0,flavanoid glucosides,,"Four alkaloids (1-4), three quinolone alkaloids (5-7), and three flavanoid glucosides (8-10) were isolated from the fruits of Evodia officinalis Dode, and their structures were determined from chemical and spectral data.",butter|foodb_non_scientific,1,fruits,,,Fruits,Fruits,Fruits,FOOD00871
59,4061,114.0,120.0,fruits,0.0,15.0,β-Caryophyllene,,"β-Caryophyllene (BCP) is a natural bicyclic sesquiterpene abundantly found in essential oils from various spices, fruits and medicinal as well as ornamental plants.",butter|foodb_non_scientific,1,fruits,,,Fruits,Fruits,Fruits,FOOD00871
60,4062,114.0,120.0,fruits,17.0,20.0,BCP,,"β-Caryophyllene (BCP) is a natural bicyclic sesquiterpene abundantly found in essential oils from various spices, fruits and medicinal as well as ornamental plants.",butter|foodb_non_scientific,1,fruits,,,Fruits,Fruits,Fruits,FOOD00871
61,4063,114.0,120.0,fruits,35.0,57.0,bicyclic sesquiterpene,,"β-Caryophyllene (BCP) is a natural bicyclic sesquiterpene abundantly found in essential oils from various spices, fruits and medicinal as well as ornamental plants.",butter|foodb_non_scientific,1,fruits,,,Fruits,Fruits,Fruits,FOOD00871
62,4722,71.0,77.0,fruits,0.0,9.0,Quercetin,CIDs05280343,Quercetin is a naturally occurring chemical found in our daily diet in fruits and vegetables.,butter|foodb_non_scientific,1,fruits,,,Fruits,Fruits,Fruits,FOOD00871
63,4910,228.0,234.0,fruits,6.0,15.0,limonoids,,"Eight limonoids (1-8) including three A, B and D-seco-16-nor-type ones, 5,6-dehydrodesepoxyharperforin C2 (1), harrpernoid B (2), and its C-9S epimer, harrpernoid C (3), along with six known compounds (9-14), were isolated from fruits of Harrisonia perforata.",butter|foodb_non_scientific,1,fruits,,,Fruits,Fruits,Fruits,FOOD00871
64,4911,228.0,234.0,fruits,41.0,42.0,B,,"Eight limonoids (1-8) including three A, B and D-seco-16-nor-type ones, 5,6-dehydrodesepoxyharperforin C2 (1), harrpernoid B (2), and its C-9S epimer, harrpernoid C (3), along with six known compounds (9-14), were isolated from fruits of Harrisonia perforata.",butter|foodb_non_scientific,1,fruits,,,Fruits,Fruits,Fruits,FOOD00871
65,4912,228.0,234.0,fruits,47.0,70.0,D-seco-16-nor-type ones,,"Eight limonoids (1-8) including three A, B and D-seco-16-nor-type ones, 5,6-dehydrodesepoxyharperforin C2 (1), harrpernoid B (2), and its C-9S epimer, harrpernoid C (3), along with six known compounds (9-14), were isolated from fruits of Harrisonia perforata.",butter|foodb_non_scientific,1,fruits,,,Fruits,Fruits,Fruits,FOOD00871
66,4913,228.0,234.0,fruits,72.0,105.0,"5,6-dehydrodesepoxyharperforin C2",,"Eight limonoids (1-8) including three A, B and D-seco-16-nor-type ones, 5,6-dehydrodesepoxyharperforin C2 (1), harrpernoid B (2), and its C-9S epimer, harrpernoid C (3), along with six known compounds (9-14), were isolated from fruits of Harrisonia perforata.",butter|foodb_non_scientific,1,fruits,,,Fruits,Fruits,Fruits,FOOD00871
67,4914,228.0,234.0,fruits,111.0,124.0,harrpernoid B,,"Eight limonoids (1-8) including three A, B and D-seco-16-nor-type ones, 5,6-dehydrodesepoxyharperforin C2 (1), harrpernoid B (2), and its C-9S epimer, harrpernoid C (3), along with six known compounds (9-14), were isolated from fruits of Harrisonia perforata.",butter|foodb_non_scientific,1,fruits,,,Fruits,Fruits,Fruits,FOOD00871
68,4915,228.0,234.0,fruits,151.0,164.0,harrpernoid C,,"Eight limonoids (1-8) including three A, B and D-seco-16-nor-type ones, 5,6-dehydrodesepoxyharperforin C2 (1), harrpernoid B (2), and its C-9S epimer, harrpernoid C (3), along with six known compounds (9-14), were isolated from fruits of Harrisonia perforata.",butter|foodb_non_scientific,1,fruits,,,Fruits,Fruits,Fruits,FOOD00871
69,5030,119.0,125.0,fruits,10.0,23.0,sesquilignans,,"Three new sesquilignans, zijusesquilignans A-C (1-3), together with fifteen known compounds (4-18), were isolated from fruits of Ziziphus jujuba var.",butter|foodb_non_scientific,1,fruits,,,Fruits,Fruits,Fruits,FOOD00871
70,5031,119.0,125.0,fruits,25.0,46.0,zijusesquilignans A-C,,"Three new sesquilignans, zijusesquilignans A-C (1-3), together with fifteen known compounds (4-18), were isolated from fruits of Ziziphus jujuba var.",butter|foodb_non_scientific,1,fruits,,,Fruits,Fruits,Fruits,FOOD00871
71,5333,347.0,353.0,fruits,297.0,305.0,piperine,CIDs00638024,"In the search for vascular smooth muscle cell anti-proliferative agents from natural sources we identified piperine (1), the main pungent constituent of the fruits from Piper nigrum (black pepper).",butter|foodb_non_scientific,1,fruits,,,Fruits,Fruits,Fruits,FOOD00871
72,5554,308.0,314.0,fruits,257.0,265.0,Lycopene,,Lycopene is a carotenoid that gives vegetables and fruits their red color.,butter|foodb_non_scientific,1,fruits,,,Fruits,Fruits,Fruits,FOOD00871
73,5715,58.0,64.0,fruits,9.0,15.0,n-BuOH,,"From the n-BuOH-soluble fraction of a MeOH extract of the fruits of Rosa soulieana, one new phenolic glucoside (1) was isolated along with five known compounds, comprising two lignin glycosides, two flavonoid glycosides and a phenolic glycoside.",butter|foodb_non_scientific,1,fruits,,,Fruits,Fruits,Fruits,FOOD00871
74,5716,58.0,64.0,fruits,38.0,42.0,MeOH,,"From the n-BuOH-soluble fraction of a MeOH extract of the fruits of Rosa soulieana, one new phenolic glucoside (1) was isolated along with five known compounds, comprising two lignin glycosides, two flavonoid glycosides and a phenolic glycoside.",butter|foodb_non_scientific,1,fruits,,,Fruits,Fruits,Fruits,FOOD00871
75,5717,58.0,64.0,fruits,92.0,110.0,phenolic glucoside,,"From the n-BuOH-soluble fraction of a MeOH extract of the fruits of Rosa soulieana, one new phenolic glucoside (1) was isolated along with five known compounds, comprising two lignin glycosides, two flavonoid glycosides and a phenolic glycoside.",butter|foodb_non_scientific,1,fruits,,,Fruits,Fruits,Fruits,FOOD00871
76,5718,58.0,64.0,fruits,176.0,193.0,lignin glycosides,,"From the n-BuOH-soluble fraction of a MeOH extract of the fruits of Rosa soulieana, one new phenolic glucoside (1) was isolated along with five known compounds, comprising two lignin glycosides, two flavonoid glycosides and a phenolic glycoside.",butter|foodb_non_scientific,1,fruits,,,Fruits,Fruits,Fruits,FOOD00871
77,5719,58.0,64.0,fruits,199.0,219.0,flavonoid glycosides,,"From the n-BuOH-soluble fraction of a MeOH extract of the fruits of Rosa soulieana, one new phenolic glucoside (1) was isolated along with five known compounds, comprising two lignin glycosides, two flavonoid glycosides and a phenolic glycoside.",butter|foodb_non_scientific,1,fruits,,,Fruits,Fruits,Fruits,FOOD00871
78,5720,58.0,64.0,fruits,226.0,244.0,phenolic glycoside,,"From the n-BuOH-soluble fraction of a MeOH extract of the fruits of Rosa soulieana, one new phenolic glucoside (1) was isolated along with five known compounds, comprising two lignin glycosides, two flavonoid glycosides and a phenolic glycoside.",butter|foodb_non_scientific,1,fruits,,,Fruits,Fruits,Fruits,FOOD00871
79,5847,246.0,252.0,fruits,8.0,30.0,secoiridoid glucosides,,"Two new secoiridoid glucosides, namely iso-oleonuezhenide (1) and methyloleoside 7-ethyl ester (2), along with five known ones, oleonuezhenide (3), nuezhenide (4), oleuropein (5), G13 (6), and jaspolyside methyl ester (7), were isolated from the fruits of Ligustrum lucidum.",butter|foodb_non_scientific,1,fruits,,,Fruits,Fruits,Fruits,FOOD00871
80,5848,246.0,252.0,fruits,39.0,57.0,iso-oleonuezhenide,,"Two new secoiridoid glucosides, namely iso-oleonuezhenide (1) and methyloleoside 7-ethyl ester (2), along with five known ones, oleonuezhenide (3), nuezhenide (4), oleuropein (5), G13 (6), and jaspolyside methyl ester (7), were isolated from the fruits of Ligustrum lucidum.",butter|foodb_non_scientific,1,fruits,,,Fruits,Fruits,Fruits,FOOD00871
81,5849,246.0,252.0,fruits,66.0,94.0,methyloleoside 7-ethyl ester,,"Two new secoiridoid glucosides, namely iso-oleonuezhenide (1) and methyloleoside 7-ethyl ester (2), along with five known ones, oleonuezhenide (3), nuezhenide (4), oleuropein (5), G13 (6), and jaspolyside methyl ester (7), were isolated from the fruits of Ligustrum lucidum.",butter|foodb_non_scientific,1,fruits,,,Fruits,Fruits,Fruits,FOOD00871
82,5850,246.0,252.0,fruits,128.0,142.0,oleonuezhenide,CIDs06443262,"Two new secoiridoid glucosides, namely iso-oleonuezhenide (1) and methyloleoside 7-ethyl ester (2), along with five known ones, oleonuezhenide (3), nuezhenide (4), oleuropein (5), G13 (6), and jaspolyside methyl ester (7), were isolated from the fruits of Ligustrum lucidum.",butter|foodb_non_scientific,1,fruits,,,Fruits,Fruits,Fruits,FOOD00871
